Name,Team,Batting,Base Running,Fielding,Positional,Offense,Defense,League,Replacement,RAR,WAR,Dollars,NameASCII,PlayerId,MLBAMID
"Eddie Rosario","- - -",12.374450238589668,14.334060950903222,8.713749766349792,-42.6503142118454,26.70851118949289,-33.936564445495605,15.495433319127187,119.775907702744,128.04328776586848,12.965223219300869,103.72178575440695,"Eddie Rosario",12155,592696
"Corey Hart","- - -",64.68575183358766,0.7019250240409747,-20.820436358451843,-46.298603240866214,65.38767685762863,-67.11903959931806,5.717558339820243,123.36291602626443,127.34911162439525,12.912061616046245,81.92128682979754,"Corey Hart",1945,430611
"J.T. Snow","- - -",48.16731240883014,-8.326167927720235,-22.712848484516144,-101.96036165952682,39.84114448110991,-124.67321014404297,14.195844959001988,204.6788164526224,134.04259574869133,12.886462749803815,14.871052691070016,"J.T. Snow",1133,122497
"Aaron Hicks","- - -",-5.68360609341388,21.19110819371417,-4.739261031150818,-0.5315477550029755,15.507502100300291,-5.270808786153793,9.850476072402671,105.63859174586833,125.72576113241749,12.851340275065793,101.79272898109078,"Aaron Hicks",5297,543305
"Jamey Carroll","- - -",-67.58540377315687,13.848840857332107,21.910138234496117,19.974276453256607,-53.73656291582476,41.884414687752724,11.298639019369148,127.59329109825194,127.03978188954905,12.79277696054115,74.86302783069067,"Jamey Carroll",1591,425206
"Omar Infante","- - -",-97.32782371168938,13.691718757792842,1.0476229190826416,21.363148912787437,-83.63610495389653,22.41077183187008,14.74983707384672,169.709814729169,123.23431868098928,12.727108763602192,80.31859844441338,"Omar Infante",1609,408299
"Damian Miller","- - -",-56.125941294114405,-15.375047006848035,18.59083104133606,64.82566827535629,-71.50098830096243,83.41649931669235,6.829295229515992,110.96398694254458,129.7087931877905,12.64713075958441,35.14217486853958,"Damian Miller",65,119064
"Nick Ahmed","ARI",-102.3911141583651,6.674464186653495,84.82441234588623,35.65155017375946,-95.7166499717116,120.47596251964569,5.42956998758018,96.18549050204456,126.37437303755883,12.640067457255943,100.999851524971,"Nick Ahmed",12147,605113
"Adam Duvall","- - -",-9.914285199998389,9.374699209583923,48.62798500061035,-29.282669007778168,-0.5395859904144658,19.345315992832184,5.522064542397857,100.35186539962888,124.67965994444444,12.541631243650261,100.2151371487133,"Adam Duvall",10950,594807
"Dmitri Young","- - -",80.13103726443643,-24.686125768479542,-21.38616239791736,-79.48159113526344,55.44491149595689,-100.8677535331808,10.80078142916318,163.77692857384682,129.15486796578608,12.530814857648181,30.1130769781571,"Dmitri Young",505,124693
"Darryl Strawberry","- - -",74.73885482710384,-4.659542295878055,4,-34.425593972206116,70.07931253122578,-30.425593972206116,9.553440777817741,71.80830502696335,121.01546436380076,12.475899200944163,,"Darryl Strawberry",1012606,122864
"Jacque Jones","- - -",-19.665476613526742,-11.293003049941035,30.322349160909653,-43.35902962088585,-30.958479663467777,-13.036680459976196,15.60116747696884,155.52043307572603,127.12644042925089,12.471338312661397,41.1584136846684,"Jacque Jones",735,150218
"Jack Wilson","- - -",-170.42617138963018,9.019439143885393,55.80751013755798,56.24200811982155,-161.4067322457448,112.04951825737953,11.890637095959391,163.9055689573288,126.43899206492293,12.455021953481968,57.94652875067802,"Jack Wilson",1017,333292
"José Hernández","- - -",-93.49278811558811,-13.543246891204035,31.8691166639328,35.871037766337395,-107.03603500679215,67.7401544302702,8.00042580376612,158.95713797211647,127.66168319936064,12.449953309426013,18.898045902413237,"Jose Hernandez",688,115825
"Gleyber Torres","NYY",47.932662894754245,-5.494072198402137,-29.30171012878418,14.074070155620575,42.43859069635211,-15.227639973163605,8.021131321787834,88.00159090012312,123.23367294509946,12.409748144523494,99.27798515618795,"Gleyber Torres",16997,650402
"Didi Gregorius","- - -",-31.5496938462255,23.472132510738447,-58.092803969979286,46.220256611704826,-8.077561335487054,-11.87254735827446,11.24573464068817,128.37000632286072,119.66563226978738,12.395712712297462,98.02042984391537,"Didi Gregorius",6012,544369
