last_name, first_name,player_id,name_abbrev,team_id,position_name,age,bat_side,seconds_since_hit_000,seconds_since_hit_005,seconds_since_hit_010,seconds_since_hit_015,seconds_since_hit_020,seconds_since_hit_025,seconds_since_hit_030,seconds_since_hit_035,seconds_since_hit_040,seconds_since_hit_045,seconds_since_hit_050,seconds_since_hit_055,seconds_since_hit_060,seconds_since_hit_065,seconds_since_hit_070,seconds_since_hit_075,seconds_since_hit_080,seconds_since_hit_085,seconds_since_hit_090
Choi, Ji Man,596847,SD,135,DH,32,L,0.00,0.55,0.87,1.15,1.40,1.64,1.86,2.07,2.28,2.49,2.69,2.88,3.08,3.28,3.48,3.67,3.88,4.11,4.34
Clemens, Kody,665019,PHI,143,1B,27,L,0.00,0.56,0.86,1.12,1.36,1.58,1.79,1.99,2.18,2.37,2.55,2.74,2.92,3.09,3.27,3.45,3.62,3.80,3.98
Colás, Oscar,693049,CWS,145,RF,24,L,0.00,0.54,0.85,1.12,1.36,1.58,1.79,2.00,2.19,2.38,2.57,2.76,2.94,3.12,3.30,3.47,3.66,3.84,4.03
Conforto, Michael,624424,SF,137,RF,30,L,0.00,0.53,0.85,1.11,1.35,1.58,1.80,2.00,2.21,2.40,2.60,2.79,2.98,3.16,3.35,3.53,3.72,3.91,4.12
Contreras, William,661388,MIL,158,C,25,R,0.00,0.56,0.89,1.16,1.41,1.64,1.85,2.06,2.26,2.45,2.65,2.83,3.02,3.20,3.38,3.57,3.75,3.93,4.12
Contreras, Willson,575929,STL,138,C,31,R,0.00,0.56,0.88,1.14,1.39,1.61,1.82,2.03,2.23,2.42,2.61,2.80,2.98,3.17,3.35,3.53,3.70,3.89,4.08
Cooper, Garrett,643265,SD,135,1B,32,R,0.00,0.59,0.92,1.20,1.45,1.69,1.90,2.12,2.31,2.51,2.71,2.89,3.08,3.26,3.45,3.63,3.81,4.00,4.19
Cordero, Franchy,614173,NYY,147,RF,28,L,0.00,0.55,0.86,1.13,1.36,1.59,1.79,1.99,2.19,2.38,2.56,2.75,2.93,3.11,3.28,3.46,3.65,3.84,4.04
Correa, Carlos,621043,MIN,142,SS,28,R,0.00,0.56,0.88,1.16,1.40,1.62,1.84,2.04,2.24,2.43,2.62,2.80,2.99,3.17,3.35,3.53,3.71,3.90,4.09
Cowser, Colton,681297,BAL,110,CF,23,L,0.00,0.53,0.82,1.08,1.31,1.52,1.72,1.92,2.11,2.30,2.48,2.66,2.83,3.01,3.18,3.36,3.53,3.72,3.91
