Name,woba_Correctness,SLG_Correctness,BABIP_Correctness,wRC+_Correctness
Kyle Isbel,Correct :),Correct :),Correct :),Correct :)
Rafael Devers,Correct :),Correct :),Correct :),Correct :)
Orlando Arcia,Correct :),Correct :),Correct :),Correct :)
Andres Gimenez,Correct :),Correct :),Correct :),Correct :)
Jean Segura,Correct :),Correct :),Correct :),Correct :)
Trey Mancini,Correct :),Correct :),Wrong :(,Correct :)
Paul Goldschmidt,Correct :),Correct :),Correct :),Correct :)
Ezequiel Duran,Correct :),Correct :),Correct :),Correct :)
Salvador Perez,Correct :),Correct :),Correct :),Correct :)
Matt Chapman,Wrong :(,Correct :),Correct :),Wrong :(
Seth Brown,Correct :),Correct :),Correct :),Correct :)
Randal Grichuk,Correct :),Correct :),Correct :),Correct :)
Ozzie Albies,Wrong :(,Wrong :(,Wrong :(,Wrong :(
Vinnie Pasquantino,Correct :),Correct :),Correct :),Correct :)
Luis Garcia,Wrong :(,Wrong :(,Wrong :(,Wrong :(
Aaron Hicks,Correct :),Correct :),Correct :),Correct :)
Josh Naylor,Correct :),Correct :),Correct :),Correct :)
Chas McCormick,Wrong :(,Wrong :(,Wrong :(,Wrong :(
Tim Anderson,Correct :),Correct :),Correct :),Correct :)
Paul DeJong,Correct :),Correct :),Correct :),Correct :)
Edward Olivares,Wrong :(,Correct :),Correct :),Wrong :(
Nick Pratto,Correct :),Correct :),Correct :),Correct :)
Starling Marte,Correct :),Correct :),Correct :),Correct :)
Matt Olson,Wrong :(,Wrong :(,Correct :),Wrong :(
Martin Maldonado,Wrong :(,Wrong :(,Correct :),Wrong :(
Jeimer Candelario,Correct :),Correct :),Correct :),Correct :)
Jose Siri,Wrong :(,Correct :),Correct :),Correct :)
Gavin Sheets,Wrong :(,Correct :),Wrong :(,Correct :)
Bryan Reynolds,Correct :),Correct :),Correct :),Correct :)
Ryan Jeffers,Correct :),Correct :),Correct :),Correct :)
T.J. Friedl,Correct :),Correct :),Correct :),Correct :)
Michael A. Taylor,Wrong :(,Correct :),Correct :),Correct :)
Teoscar Hernandez,Correct :),Correct :),Wrong :(,Correct :)
Eduardo Escobar,Correct :),Correct :),Wrong :(,Correct :)
Josh Bell,Correct :),Correct :),Wrong :(,Correct :)
Nick Fortes,Wrong :(,Wrong :(,Wrong :(,Wrong :(
Isaac Paredes,Wrong :(,Correct :),Correct :),Wrong :(
Sean Murphy,Wrong :(,Wrong :(,Correct :),Wrong :(
Adam Duvall,Correct :),Correct :),Correct :),Wrong :(
