bat_side,IDfg,Name,zscore_difference_woba,zscore_difference_slg,zscore_difference_babip,zscore_difference_wrc
R,22581,Alejandro Kirk,-1.240998681,-1.313836913,-0.198293374,-1.254243265
L,22799,Geraldo Perdomo,2.780886266,2.487126489,2.124275791,2.668218575
S,23667,Wander Franco,0.384136692,0.593975892,-0.16459281,0.307170008
R,23697,Julio Rodriguez,-0.798906504,-0.783423812,-0.224083769,-1.117371218
R,23733,Ezequiel Duran,2.039867997,1.837490068,2.027033869,1.916284906
L,23792,Alek Thomas,1.043442064,1.291647176,1.074363591,0.9402651
L,24610,Steven Kwan,-0.722084946,-0.154685207,-0.883652785,-0.995491743
L,24617,Jarren Duran,2.138155276,1.988253406,2.106444281,2.039088959
R,24618,Ryan Jeffers,2.547366028,1.579740442,3.310056158,2.53926503
R,24655,Owen Miller,1.082565073,0.932930589,1.029185535,0.976239342
L,24679,Brendan Donovan,-0.170152598,0.818392762,-0.699257078,-0.41672718
R,25764,Bobby Witt Jr.,1.162226175,1.257577277,0.129608557,1.012473842
L,25768,CJ Abrams,1.422846595,1.578506594,-0.069211285,1.166773396
R,25816,Shea Langeliers,-0.413286859,-0.781532564,-0.966691613,-0.612904221
L,25931,Michael Harris II,-1.137210922,-1.10428459,-1.219952284,-1.349975546
L,25976,Riley Greene,1.561689189,1.738032937,0.980041176,1.395308182
R,26197,Andrew Vaughn,0.215056448,0.330467218,0.168877883,0.153950018
S,26288,Adley Rutschman,-0.297705802,-0.213273018,0.158361731,-0.562999139
L,26294,Bryson Stott,1.530353086,1.454196149,1.521422156,1.381667367
L,26368,J.J. Bleday,1.31744787,1.261809947,0.630436688,1.370538385
R,27465,Spencer Torkelson,1.791247621,2.169469196,0.523068251,1.684866475
R,27506,Ha-seong Kim,1.970995748,1.4002602,1.636719208,1.889213567
L,27676,Vinnie Pasquantino,-1.189870568,-0.14381259,-1.633450362,-1.449489068
L,27684,Michael Massey,-0.684074055,-0.042706216,-1.209857415,-0.855487875
R,30116,Seiya Suzuki,-0.097647588,0.016757545,-0.256885148,-0.31706405
