last_name,first_name,player_id,year,pa,bip,ba,est_ba,est_ba_minus_ba_diff,slg,est_slg,est_slg_minus_slg_diff,woba,est_woba,est_woba_minus_woba_diff
Alvarez, Yordan,670541,2021,598,395,0.277,0.279,-0.002,0.531,0.57,-0.0389999999999999,0.369,0.389,-0.02
McMahon, Ryan,641857,2021,596,386,0.254,0.244,0.01,0.449,0.426,0.023,0.334,0.325,0.009
Story, Trevor,596115,2021,595,392,0.251,0.245,0.006,0.471,0.45,0.0209999999999999,0.341,0.335,0.006
Hernández, Teoscar,606192,2021,595,404,0.296,0.284,0.012,0.524,0.536,-0.012,0.369,0.37,-0.001
Muncy, Max,571970,2021,592,378,0.249,0.271,-0.022,0.527,0.58,-0.0529999999999999,0.379,0.407,-0.0279999999999999
Meadows, Austin,640457,2021,591,404,0.234,0.24,-0.0059999999999999,0.458,0.425,0.033,0.327,0.326,0.001
Rosario, Amed,642708,2021,588,434,0.282,0.267,0.0149999999999999,0.409,0.368,0.0409999999999999,0.315,0.3,0.015
Bryant, Kris,592178,2021,586,380,0.265,0.26,0.005,0.481,0.449,0.0319999999999999,0.356,0.346,0.01
Mountcastle, Ryan,663624,2021,586,380,0.255,0.245,0.01,0.487,0.457,0.0299999999999999,0.335,0.326,0.009
Castellanos, Nick,592206,2021,585,416,0.309,0.293,0.016,0.576,0.535,0.0409999999999999,0.391,0.374,0.017
Walsh, Jared,665120,2021,585,381,0.277,0.256,0.021,0.509,0.434,0.075,0.357,0.326,0.0309999999999999
Hernández, Enrique,571771,2021,585,405,0.25,0.253,-0.003,0.449,0.454,-0.005,0.338,0.346,-0.0079999999999999
Cruz, Nelson,443558,2021,584,396,0.265,0.264,0.001,0.497,0.512,-0.015,0.346,0.363,-0.017
Taylor, Chris,621035,2021,582,344,0.254,0.237,0.017,0.438,0.422,0.016,0.338,0.329,0.009
Blackmon, Charlie,453568,2021,582,426,0.27,0.291,-0.0209999999999999,0.411,0.45,-0.039,0.333,0.359,-0.0259999999999999
Stanton, Giancarlo,519317,2021,579,356,0.273,0.262,0.011,0.516,0.498,0.018,0.37,0.363,0.007
Rizzo, Anthony,519203,2021,576,414,0.248,0.261,-0.013,0.44,0.434,0.006,0.339,0.347,-0.0079999999999999
Suárez, Eugenio,553993,2021,574,339,0.198,0.215,-0.0169999999999999,0.428,0.455,-0.027,0.306,0.326,-0.02
McCutchen, Andrew,457705,2021,574,357,0.222,0.24,-0.0179999999999999,0.444,0.431,0.013,0.335,0.344,-0.0089999999999999
Renfroe, Hunter,592669,2021,572,397,0.259,0.26,-0.001,0.501,0.506,-0.005,0.344,0.354,-0.01
Urías, Luis,649966,2021,570,378,0.249,0.241,0.008,0.445,0.427,0.018,0.34,0.333,0.007
