Name,Team,G,PA,HR,R,RBI,SB,BB%,K%,ISO,BABIP,AVG,OBP,SLG,wOBA,xwOBA,wRC+,BsR,Off,Def,WAR,NameASCII,PlayerId,MLBAMID
"Willy Adames","- - -",688,2792,115,357,341,29,0.09061605,0.27829513,0.19083665,0.31146536,0.24820717,0.31801866,0.43904382,0.3250600851809404,,106.36426652024021,7.290420449804515,29.265662287209597,32.01476216316223,15.68588829273685,"Willy Adames",15986,642715
"Tim Anderson","CHW",624,2668,72,389,249,91,0.04235382,0.2173913,0.14212193,0.34944238,0.28899446,0.32295574,0.43111639,0.3237001011015149,,104.54740548965323,12.521111773792654,28.531038941352886,33.65866333246231,15.54990558631718,"Tim Anderson",15172,641313
"Kyle Tucker","HOU",526,2096,99,289,353,78,0.09685115,0.16030534,0.23345885,0.28472222,0.27380312,0.34484412,0.50726197,0.35995629647531313,,132.63591687895777,14.70347140962258,96.39823462219417,-13.574945837259293,15.54907526081668,"Kyle Tucker",18345,663656
"Bo Bichette","TOR",507,2233,87,316,301,49,0.05373936,0.20734438,0.18949881,0.34987113,0.30071599,0.34079713,0.4902148,0.3553212889099634,,127.59153957724517,0.7288115506526083,74.30063847994685,0.8976732492446899,15.104057816083118,"Bo Bichette",19612,666182
"Will Smith","LAD",460,1853,88,257,295,8,0.11117107,0.18456557,0.22715736,0.27768313,0.26269036,0.35779817,0.48984772,0.36064379378328104,,130.19179565707606,-5.079828970367089,64.26734235794783,20.419408651068807,14.839386951404947,"Will Smith",19197,669257
"Tommy Edman","STL",567,2304,51,330,213,96,0.06163194,0.16493056,0.1454889,0.30011792,0.26452527,0.3181027,0.41001417,0.3147327403660536,,99.81957502563074,23.71390727488324,23.208871584958843,44.42132568359375,14.832162977897656,"Tommy Edman",19470,669242
"Sean Murphy","- - -",421,1630,66,205,212,1,0.10184049,0.23128834,0.20538243,0.28323108,0.24291785,0.33824432,0.44830028,0.34117540975399524,,121.97652404644927,-7.244267405709252,35.609302374386914,55.957630693912506,14.81158477503131,"Sean Murphy",19352,669221
"Yasmani Grandal","- - -",637,2465,96,277,293,8,0.15212982,0.2296146,0.18567251,0.27253371,0.23391813,0.35430195,0.41959064,0.3378792283689166,,112.64908373364527,-29.762284240219742,11.036569361545219,52.86782419681549,14.532138101437049,"Yasmani Grandal",11368,518735
"Pete Alonso","NYM",653,2775,185,383,476,14,0.09945946,0.2209009,0.27902156,0.26148194,0.25373134,0.3445045,0.5327529,0.3664188363054736,,135.98728970673162,-14.238461039494723,110.5279062146071,-56.75808393955231,14.48907623263807,"Pete Alonso",19251,624413
"Austin Riley","ATL",579,2430,127,339,354,5,0.07695473,0.25884774,0.23256881,0.3227367,0.27247706,0.33786008,0.50504587,0.357135406481333,,123.83874108474807,-5.409772092010826,64.38076741915704,-5.163965076208115,14.186095384914701,"Austin Riley",18360,663586
"Bryan Reynolds","PIT",610,2526,92,340,303,26,0.09422011,0.21496437,0.19866072,0.32736257,0.27767857,0.35366337,0.47633929,0.354140813725878,,121.34129746573868,2.784656021744013,70.39554085427976,-15.752374444156885,14.13664408983116,"Bryan Reynolds",19326,668804
"Max Kepler","MIN",676,2714,114,372,318,21,0.10537951,0.17464996,0.20470786,0.24254144,0.23245061,0.3201916,0.43715847,0.3250564910592498,,106.00631577484626,2.873427995480597,23.66040560879171,17.71933527290821,13.642868157428072,"Max Kepler",12144,596146
"Anthony Rizzo","- - -",727,3066,129,384,396,26,0.10241357,0.15949119,0.20076482,0.26944032,0.25736138,0.35942596,0.4581262,0.3510964691147969,,122.71332345803621,-20.62384639121592,65.36048481197876,-32.7818204164505,13.557337950728854,"Anthony Rizzo",3473,519203
"Mark Canha","- - -",699,2707,85,374,306,30,0.11230144,0.19763576,0.17164179,0.29184038,0.2524144,0.36313262,0.42405619,0.3445884276760949,,122.88446133460273,1.1902829664759338,77.27127804746935,-36.35870234668255,13.486877503114417,"Mark Canha",11445,592192
"J.D. Martinez","- - -",729,3163,155,448,501,10,0.09421435,0.24027822,0.24172303,0.3387013,0.28729085,0.35623813,0.52901388,0.37087499662676215,,132.65560469056584,-22.420632078778,103.03006496565618,-77.2370504681021,13.324576545826275,"J.D. Martinez",6184,502110
"Chris Taylor","LAD",693,2567,80,344,302,55,0.09972731,0.30112972,0.18495576,0.33591005,0.24690265,0.32969177,0.43185841,0.32798915242626037,,107.70800971603849,18.41953955194913,43.731268311666526,3.049326851963997,13.257664275155339,"Chris Taylor",13757,621035
"Brandon Lowe","TBR",483,1931,101,266,291,24,0.10409114,0.27602279,0.2390791,0.29466791,0.24557261,0.33350596,0.48465171,0.34824488248983443,,126.49060323902421,16.29278457001783,79.18900615707189,-10.448168225586414,13.254788493205883,"Brandon Lowe",18882,664040
"Brandon Crawford","SFG",686,2624,72,303,315,23,0.08955793,0.21379573,0.15203426,0.29333333,0.24753747,0.32138772,0.39957173,0.3094175855625195,,95.5175809668751,0.481238457839936,-13.939995544871962,58.69525703787804,13.250234656659766,"Brandon Crawford",5343,543063
"Harrison Bader","- - -",586,1973,56,259,204,71,0.07349214,0.24480487,0.15640881,0.30312751,0.24505929,0.31335703,0.4014681,0.30784518526131877,,94.79885668520335,20.39100099983625,7.91996634009595,55.407812029123306,13.032095621981368,"Harrison Bader",18030,664056
"Michael Conforto","- - -",594,2424,99,315,315,18,0.12293729,0.23349835,0.19275362,0.30021142,0.25362319,0.35684818,0.44637681,0.34525257306864576,,120.10877901348466,0.39861334091983736,62.56046879976143,-9.149047315120697,12.965405833653243,"Michael Conforto",16376,624424
"Yoán Moncada","CHW",648,2749,79,323,304,28,0.09603492,0.28628592,0.16816327,0.34106583,0.25428571,0.33041894,0.42244898,0.32527859000317066,,105.63194221796437,9.495815124362707,30.834634145576707,2.828571915626526,12.89066670450535,"Yoan Moncada",17232,660162
"Joey Gallo","- - -",658,2445,149,334,329,18,0.15051125,0.37382413,0.26108134,0.25478348,0.19581101,0.32324059,0.45689235,0.3343415875509504,,109.50107766840084,14.030035441741347,43.49950032311086,0.405173659324646,12.803504661263606,"Joey Gallo",14128,608336
"Gleyber Torres","NYY",705,2882,118,359,363,48,0.08674532,0.20471895,0.1863162,0.29847609,0.26517201,0.33090024,0.45148821,0.33479846598297314,,114.45630421931189,-5.554228672757745,44.82525345725906,-15.018095403909683,12.784847893618956,"Gleyber Torres",16997,650402
"Byron Buxton","MIN",392,1507,87,235,202,45,0.07033842,0.27803583,0.26788321,0.27752294,0.24014599,0.3025266,0.5080292,0.34076019837648214,,117.97081507562248,19.682918309699744,52.02031052944206,20.413020223379135,12.564640300631053,"Byron Buxton",14161,621439
"Willson Contreras","- - -",651,2582,97,313,307,21,0.09759876,0.24128582,0.19389587,0.30157687,0.24955117,0.34651163,0.44344704,0.3424177694292891,,115.6374228094714,-15.29454135010019,34.629087721570926,1.458836508449167,12.377171843228359,"Willson Contreras",11609,575929
"Christian Walker","ARI",648,2551,113,334,340,20,0.09760878,0.22304978,0.21251109,0.28768844,0.25332742,0.33215686,0.46583851,0.34020559859614,,113.2139076821717,4.524817894212902,45.504949295917314,-8.603165954351425,12.320729742518115,"Christian Walker",13419,572233
"Michael Brantley","- - -",522,2240,57,297,261,19,0.08035714,0.10580357,0.15836212,0.32378223,0.30685742,0.36656236,0.46521954,0.35686854258720674,,127.07256537036686,-2.1568513039965183,72.04195405139026,-28.797983668744564,12.109706623244016,"Michael Brantley",4106,488726
"Teoscar Hernández","- - -",712,2868,143,379,425,41,0.06938633,0.29497908,0.22685888,0.33152502,0.26289833,0.31810255,0.48975721,0.34273210920489755,,118.29270703133544,-3.6905294749885798,58.90564096023081,-35.813338696956635,11.990953258415539,"Teoscar Hernandez",13066,606192
"Jorge Polanco","MIN",598,2593,90,340,325,32,0.08870035,0.18704204,0.18240621,0.30424929,0.27037516,0.33758701,0.45278137,0.33849183169160757,,115.28282824844345,6.080497944960371,54.34088666521994,-26.869179477915168,11.889961497692134,"Jorge Polanco",13152,593871
"Josh Donaldson","- - -",536,2189,102,285,277,8,0.13202376,0.2407492,0.22066738,0.27061649,0.23681378,0.34307903,0.45748116,0.3427501454477953,,117.05748338267011,-13.377254132181406,34.35962569705806,11.36061890795827,11.825704122213702,"Josh Donaldson",5038,518626
"Ian Happ","CHC",690,2578,95,312,303,40,0.12335144,0.27114042,0.19379496,0.3148405,0.24685252,0.34485437,0.44064748,0.33933993772213794,,114.24811378931993,4.2329603298567235,49.39734792042836,-20.30126941204071,11.785653420483024,"Ian Happ",17919,664023
