player_id,name,year,pa,bip,ba,est_ba,est_ba_minus_ba_diff,slg,est_slg,est_slg_minus_slg_diff,est_woba,est_woba_minus_woba_diff,avg_woba,woba_2023,z_scores_avg_woba,zscore_difference
545341, Randal Grichuk,2020.0,543.25,378.0,0.24425,0.23525000000000001,0.009,0.45175,0.421,0.03074999999999995,0.30475,0.010749999999999975,0.3155,0.329,-0.41037308650328597,0.5551519739615649
545361, Mike Trout,2019.6666666666667,569.0,335.0,0.2953333333333333,0.2896666666666667,0.005666666666666633,0.6343333333333333,0.621,0.01333333333333333,0.4296666666666667,0.003999999999999966,0.43366666666666664,0.368,3.408008828788932,-2.1904183852648096
547180, Bryce Harper,2020.0,600.5,359.75,0.276,0.28125,-0.0052499999999999995,0.53375,0.5505,-0.01675,0.397,-0.01175,0.38525,0.371,1.843495505245364,-0.5433810958700229
547989, Jose Abreu,2020.0,646.0,454.0,0.27849999999999997,0.276,0.002499999999999975,0.47575,0.48825,-0.012499999999999999,0.359,-0.009999999999999974,0.349,0.278,0.6721301081000078,-1.9302586401124473
553869, Elias Diaz,2020.0,340.25,254.25,0.25025,0.24725,0.003,0.39775,0.38075000000000003,0.016999999999999973,0.3025,0.0022499999999999747,0.30475,0.323,-0.7577435146222531,0.7374744703780944
553993, Eugenio Suarez,2020.0,617.75,368.5,0.247,0.23925000000000002,0.007749999999999975,0.49624999999999997,0.481,0.015249999999999974,0.34825,0.0034999999999999745,0.35175,0.316,0.7609923106420704,-0.9738172752057397
570482, Gio Urshela,2020.6666666666667,489.6666666666667,361.0,0.2886666666666667,0.2683333333333333,0.0203333333333333,0.4606666666666667,0.4426666666666666,0.018,0.325,0.011666666666666667,0.33666666666666667,0.307,0.273596593668945,-0.7339934557862708
571448, Nolan Arenado,2020.0,652.0,492.75,0.29,0.26275000000000004,0.027249999999999927,0.5427500000000001,0.4555,0.08724999999999997,0.3365,0.03849999999999995,0.375,0.352,1.5122818412249537,-0.7348192155739985
571657, Kyle Farmer,2021.5,556.0,413.5,0.259,0.255,0.004,0.401,0.3815,0.019499999999999948,0.3065,0.006,0.3125,0.303,-0.5073136710946259,-0.06311514549099173
571771, Enrique Hernandez,2020.0,477.25,338.25,0.24125,0.24525,-0.003999999999999975,0.417,0.41025,0.006749999999999976,0.32,-0.0047499999999999504,0.31525000000000003,0.275,-0.4184514685525634,-0.9222010293110952
571970, Max Muncy,2020.0,556.75,328.75,0.23975000000000002,0.24925,-0.009499999999999974,0.502,0.51225,-0.010249999999999976,0.38075000000000003,-0.01175,0.369,0.34,1.3184006720422738,-0.8710339097961926
572191, Michael A. Taylor,2020.3333333333333,456.3333333333333,298.3333333333333,0.24166666666666667,0.22633333333333336,0.015333333333333332,0.35666666666666663,0.361,-0.004333333333333367,0.286,0.0016666666666666663,0.2876666666666667,0.302,-1.309766287989605,0.7118294827869145
572233, Christian Walker,2020.6666666666667,571.6666666666666,377.0,0.24833333333333332,0.256,-0.007666666666666666,0.445,0.462,-0.017,0.3446666666666667,-0.012666666666666666,0.332,0.369,0.12280012874908354,1.1222983033921115
573262, Mike Yastrzemski,2020.6666666666667,500.3333333333333,320.0,0.23666666666666666,0.231,0.005666666666666667,0.45566666666666666,0.4423333333333333,0.01333333333333333,0.32466666666666666,0.003999999999999966,0.32866666666666666,0.322,0.015088368092038599,-0.06286540095327023
575929, Willson Contreras,2020.0,480.75,302.75,0.25025,0.24025,0.01,0.45675,0.4385,0.01825,0.33999999999999997,0.005750000000000025,0.34575,0.345,0.5671111414593906,0.017795563872053943
592178, Kris Bryant,2019.3333333333333,559.0,355.0,0.27299999999999996,0.25166666666666665,0.0213333333333333,0.48733333333333334,0.44966666666666666,0.0376666666666666,0.34733333333333327,0.017333333333333333,0.36466666666666664,0.319,1.1783753831881156,-1.308676381900566
592192, Mark Canha,2020.0,518.75,336.5,0.25475000000000003,0.24275,0.012,0.43900000000000006,0.41325,0.025749999999999974,0.33875,0.01025,0.34900000000000003,0.317,0.6721301081000097,-0.8574470840466061
592206, Nick Castellanos,2020.0,621.25,439.75,0.28975,0.27949999999999997,0.010249999999999974,0.4975,0.499,-0.001500000000000026,0.3535,0.00025000000000000066,0.35375,0.331,0.825619367036297,-0.6258245023438722
