Season,Name,Tm,PA,BB%,K%,BB/K,AVG,OBP,SLG,OPS,ISO,BABIP,wRC,wRAA,wOBA,wRC+,playerId
2023,"Jose Ramirez","CLE",530,0.10188679,0.1,1.01886792,0.28144989,0.35283019,0.48400853,0.83683872,0.20255864,0.28039702,77.54797890887009,13.163048179004061,0.3482976293100894,122.4754660199686,13510
2023,"Patrick Wisdom","CHC",265,0.10566038,0.38490566,0.2745098,0.19742489,0.28787879,0.49356223,0.78144102,0.29613734,0.23214286,34.869950359611515,2.6774849946784984,0.33052355096195685,107.45285774641155,13602
2023,"Mookie Betts","LAD",544,0.13051471,0.15992647,0.81609195,0.3030303,0.39889706,0.5995671,0.99846416,0.2965368,0.30635838,111.02373809487918,44.93807334573367,0.417996747216103,167.41319513868402,13611
2023,"Ketel Marte","ARI",519,0.10211946,0.16763006,0.6091954,0.27292576,0.35260116,0.47598253,0.82858369,0.20305677,0.29661017,78.92042441762757,15.871784702909714,0.35522947943187544,121.88005558603069,13613
2023,"Jeimer Candelario","2 Tms",493,0.09127789,0.21298174,0.42857143,0.27020785,0.35365854,0.49422633,0.84788487,0.22401848,0.31730769,78.19509002853631,18.304956349623193,0.36317143821424963,127.74685792318456,13621
2023,"Corey Seager","TEX",377,0.1061008,0.16976127,0.625,0.34337349,0.41114058,0.65060241,1.06174299,0.30722892,0.36546185,83.69257529468278,37.89423777551392,0.43960288888023746,186.01226496917158,13624
2023,"Chris Taylor","LAD",285,0.09473684,0.32631579,0.29032258,0.21825397,0.30035336,0.42063492,0.72098828,0.20238095,0.28571429,32.60814549202523,-2.0139399004499006,0.3098081439415331,94.8923322721441,13757
2023,"Travis Jankowski","TEX",252,0.12301587,0.13888889,0.88571429,0.27777778,0.37051793,0.35648148,0.72699941,0.0787037,0.32417582,32.48273819978571,1.869525852755068,0.32728420595723795,107.98743319621849,13768
2023,"Joey Wendle","MIA",266,0.04135338,0.22556391,0.18333333,0.23076923,0.2661597,0.32793522,0.59409492,0.09716599,0.2962963,19.171426559745502,-13.142519806564614,0.25872411020808345,61.289831117756535,13853
2023,"Eric Haase","2 Tms",283,0.0565371,0.27915194,0.20253165,0.2,0.24468085,0.28301887,0.52769972,0.08301887,0.26775956,14.227237636934031,-20.151885752786885,0.23241693014776155,43.45086707181578,14111
